                                                                                                             List of functions
 Schema |               Name               |  Result data type  |          Argument data types           | Type | Volatility | Parallel | Owner  | Security | Access privileges | Language |          Internal name           | Description 
--------+----------------------------------+--------------------+----------------------------------------+------+------------+----------+--------+----------+-------------------+----------+----------------------------------+-------------
 public | array_to_halfvec                 | halfvec            | double precision[], integer, boolean   | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_halfvec                 | 
 public | array_to_halfvec                 | halfvec            | integer[], integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_halfvec                 | 
 public | array_to_halfvec                 | halfvec            | numeric[], integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_halfvec                 | 
 public | array_to_halfvec                 | halfvec            | real[], integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_halfvec                 | 
 public | array_to_sparsevec               | sparsevec          | double precision[], integer, boolean   | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_sparsevec               | 
 public | array_to_sparsevec               | sparsevec          | integer[], integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_sparsevec               | 
 public | array_to_sparsevec               | sparsevec          | numeric[], integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_sparsevec               | 
 public | array_to_sparsevec               | sparsevec          | real[], integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_sparsevec               | 
 public | array_to_vector                  | vector             | double precision[], integer, boolean   | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_vector                  | 
 public | array_to_vector                  | vector             | integer[], integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_vector                  | 
 public | array_to_vector                  | vector             | numeric[], integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_vector                  | 
 public | array_to_vector                  | vector             | real[], integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | array_to_vector                  | 
 public | avg                              | halfvec            | halfvec                                | agg  | immutable  | safe     | cortex | invoker  |                   | internal | aggregate_dummy                  | 
 public | avg                              | vector             | vector                                 | agg  | immutable  | safe     | cortex | invoker  |                   | internal | aggregate_dummy                  | 
 public | binary_quantize                  | bit                | halfvec                                | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_binary_quantize          | 
 public | binary_quantize                  | bit                | vector                                 | func | immutable  | safe     | cortex | invoker  |                   | c        | binary_quantize                  | 
 public | cosine_distance                  | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_cosine_distance          | 
 public | cosine_distance                  | double precision   | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_cosine_distance        | 
 public | cosine_distance                  | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | cosine_distance                  | 
 public | halfvec                          | halfvec            | halfvec, integer, boolean              | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec                          | 
 public | halfvec_accum                    | double precision[] | double precision[], halfvec            | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_accum                    | 
 public | halfvec_add                      | halfvec            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_add                      | 
 public | halfvec_avg                      | halfvec            | double precision[]                     | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_avg                      | 
 public | halfvec_cmp                      | integer            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_cmp                      | 
 public | halfvec_combine                  | double precision[] | double precision[], double precision[] | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_combine                   | 
 public | halfvec_concat                   | halfvec            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_concat                   | 
 public | halfvec_eq                       | boolean            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_eq                       | 
 public | halfvec_ge                       | boolean            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_ge                       | 
 public | halfvec_gt                       | boolean            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_gt                       | 
 public | halfvec_in                       | halfvec            | cstring, oid, integer                  | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_in                       | 
 public | halfvec_l2_squared_distance      | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_l2_squared_distance      | 
 public | halfvec_le                       | boolean            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_le                       | 
 public | halfvec_lt                       | boolean            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_lt                       | 
 public | halfvec_mul                      | halfvec            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_mul                      | 
 public | halfvec_ne                       | boolean            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_ne                       | 
 public | halfvec_negative_inner_product   | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_negative_inner_product   | 
 public | halfvec_out                      | cstring            | halfvec                                | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_out                      | 
 public | halfvec_recv                     | halfvec            | internal, oid, integer                 | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_recv                     | 
 public | halfvec_send                     | bytea              | halfvec                                | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_send                     | 
 public | halfvec_spherical_distance       | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_spherical_distance       | 
 public | halfvec_sub                      | halfvec            | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_sub                      | 
 public | halfvec_to_float4                | real[]             | halfvec, integer, boolean              | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_to_float4                | 
 public | halfvec_to_sparsevec             | sparsevec          | halfvec, integer, boolean              | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_to_sparsevec             | 
 public | halfvec_to_vector                | vector             | halfvec, integer, boolean              | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_to_vector                | 
 public | halfvec_typmod_in                | integer            | cstring[]                              | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_typmod_in                | 
 public | hamming_distance                 | double precision   | bit, bit                               | func | immutable  | safe     | cortex | invoker  |                   | c        | hamming_distance                 | 
 public | hnsw_bit_support                 | internal           | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | hnsw_bit_support                 | 
 public | hnsw_halfvec_support             | internal           | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | hnsw_halfvec_support             | 
 public | hnsw_sparsevec_support           | internal           | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | hnsw_sparsevec_support           | 
 public | hnswhandler                      | index_am_handler   | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | hnswhandler                      | 
 public | inner_product                    | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_inner_product            | 
 public | inner_product                    | double precision   | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_inner_product          | 
 public | inner_product                    | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | inner_product                    | 
 public | ivfflat_bit_support              | internal           | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | ivfflat_bit_support              | 
 public | ivfflat_halfvec_support          | internal           | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | ivfflat_halfvec_support          | 
 public | ivfflathandler                   | index_am_handler   | internal                               | func | volatile   | unsafe   | cortex | invoker  |                   | c        | ivfflathandler                   | 
 public | jaccard_distance                 | double precision   | bit, bit                               | func | immutable  | safe     | cortex | invoker  |                   | c        | jaccard_distance                 | 
 public | l1_distance                      | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_l1_distance              | 
 public | l1_distance                      | double precision   | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_l1_distance            | 
 public | l1_distance                      | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | l1_distance                      | 
 public | l2_distance                      | double precision   | halfvec, halfvec                       | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_l2_distance              | 
 public | l2_distance                      | double precision   | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_l2_distance            | 
 public | l2_distance                      | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | l2_distance                      | 
 public | l2_norm                          | double precision   | halfvec                                | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_l2_norm                  | 
 public | l2_norm                          | double precision   | sparsevec                              | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_l2_norm                | 
 public | l2_normalize                     | halfvec            | halfvec                                | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_l2_normalize             | 
 public | l2_normalize                     | sparsevec          | sparsevec                              | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_l2_normalize           | 
 public | l2_normalize                     | vector             | vector                                 | func | immutable  | safe     | cortex | invoker  |                   | c        | l2_normalize                     | 
 public | sparsevec                        | sparsevec          | sparsevec, integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec                        | 
 public | sparsevec_cmp                    | integer            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_cmp                    | 
 public | sparsevec_eq                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_eq                     | 
 public | sparsevec_ge                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_ge                     | 
