            tgname            |      tgrelname      
------------------------------+---------------------
 RI_ConstraintTrigger_a_19673 | agents
 RI_ConstraintTrigger_a_19674 | agents
 RI_ConstraintTrigger_c_19675 | agent_state_logs
 RI_ConstraintTrigger_c_19676 | agent_state_logs
 RI_ConstraintTrigger_a_19678 | agents
 RI_ConstraintTrigger_a_19679 | agents
 RI_ConstraintTrigger_c_19680 | background_threads
 RI_ConstraintTrigger_c_19681 | background_threads
 RI_ConstraintTrigger_a_19683 | agents
 RI_ConstraintTrigger_a_19684 | agents
 RI_ConstraintTrigger_c_19685 | cognitive_artifacts
 RI_ConstraintTrigger_c_19686 | cognitive_artifacts
 RI_ConstraintTrigger_a_19688 | agents
 RI_ConstraintTrigger_a_19689 | agents
 RI_ConstraintTrigger_c_19690 | dream_cycle_logs
 RI_ConstraintTrigger_c_19691 | dream_cycle_logs
 RI_ConstraintTrigger_a_19693 | agents
 RI_ConstraintTrigger_a_19694 | agents
 RI_ConstraintTrigger_c_19695 | emotional_valence
 RI_ConstraintTrigger_c_19696 | emotional_valence
 RI_ConstraintTrigger_a_19698 | memory_nodes
 RI_ConstraintTrigger_a_19699 | memory_nodes
 RI_ConstraintTrigger_c_19700 | emotional_valence
 RI_ConstraintTrigger_c_19701 | emotional_valence
 RI_ConstraintTrigger_a_19703 | agents
 RI_ConstraintTrigger_a_19704 | agents
 RI_ConstraintTrigger_c_19705 | hippocampal_codes
 RI_ConstraintTrigger_c_19706 | hippocampal_codes
 RI_ConstraintTrigger_a_19708 | memory_nodes
 RI_ConstraintTrigger_a_19709 | memory_nodes
 RI_ConstraintTrigger_c_19710 | hippocampal_codes
 RI_ConstraintTrigger_c_19711 | hippocampal_codes
 RI_ConstraintTrigger_a_19713 | agents
 RI_ConstraintTrigger_a_19714 | agents
 RI_ConstraintTrigger_c_19715 | memory_nodes
 RI_ConstraintTrigger_c_19716 | memory_nodes
 RI_ConstraintTrigger_a_19718 | memory_nodes
 RI_ConstraintTrigger_a_19719 | memory_nodes
 RI_ConstraintTrigger_c_19720 | memory_synapses
 RI_ConstraintTrigger_c_19721 | memory_synapses
 RI_ConstraintTrigger_a_19723 | memory_nodes
 RI_ConstraintTrigger_a_19724 | memory_nodes
 RI_ConstraintTrigger_c_19725 | memory_synapses
 RI_ConstraintTrigger_c_19726 | memory_synapses
 RI_ConstraintTrigger_a_19728 | agents
 RI_ConstraintTrigger_a_19729 | agents
 RI_ConstraintTrigger_c_19730 | principal_state
 RI_ConstraintTrigger_c_19731 | principal_state
 RI_ConstraintTrigger_a_19733 | agents
 RI_ConstraintTrigger_a_19734 | agents
 RI_ConstraintTrigger_c_19735 | procedural_memories
 RI_ConstraintTrigger_c_19736 | procedural_memories
 RI_ConstraintTrigger_a_19738 | agents
 RI_ConstraintTrigger_a_19739 | agents
 RI_ConstraintTrigger_c_19740 | relationship_graph
 RI_ConstraintTrigger_c_19741 | relationship_graph
 RI_ConstraintTrigger_a_19743 | agents
 RI_ConstraintTrigger_a_19744 | agents
 RI_ConstraintTrigger_c_19745 | self_diagnostics
 RI_ConstraintTrigger_c_19746 | self_diagnostics
(60 rows)

